SiteID,1625280,Site Timezone,-5,Data Timezone,-5,Longitude,-88.6641235352,Latitude,46.7464904785
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C),density - DEPRECATED
2012,1,1,0,30,6.01,-1.35,N/A
2012,1,1,1,30,4.45,-1.17,N/A
2012,1,1,2,30,4.3,-1.06,N/A
2012,1,1,3,30,4.13,-1.09,N/A
2012,1,1,4,30,4.88,-1.3,N/A
2012,1,1,5,30,5.57,-1.04,N/A
2012,1,1,6,30,7.82,-0.98,N/A
2012,1,1,7,30,8.67,-1.28,N/A
2012,1,1,8,30,9.98,-2.06,N/A
2012,1,1,9,30,11.16,-2.8000000000000003,N/A
2012,1,1,10,30,9.57,-3.14,N/A
2012,1,1,11,30,11.64,-3.59,N/A
2012,1,1,12,30,12.5,-4.04,N/A
2012,1,1,13,30,12.24,-4.2700000000000005,N/A
2012,1,1,14,30,11.28,-4.5,N/A
2012,1,1,15,30,9.92,-4.54,N/A
2012,1,1,16,30,11.73,-4.67,N/A
2012,1,1,17,30,12.58,-4.9,N/A
2012,1,1,18,30,12.58,-5.24,N/A
2012,1,1,19,30,11.08,-5.34,N/A
2012,1,1,20,30,11.4,-5.71,N/A
2012,1,1,21,30,11.620000000000001,-6.12,N/A
2012,1,1,22,30,10.86,-6.7,N/A
2012,1,1,23,30,11.5,-7.09,N/A
2012,1,2,0,30,11.25,-7.38,N/A
2012,1,2,1,30,11.5,-7.7,N/A
2012,1,2,2,30,11.22,-8.24,N/A
2012,1,2,3,30,10.77,-8.56,N/A
2012,1,2,4,30,9.96,-8.75,N/A
2012,1,2,5,30,10.19,-9.18,N/A
2012,1,2,6,30,9.34,-9.4,N/A
2012,1,2,7,30,11.44,-9.64,N/A
2012,1,2,8,30,11,-10.06,N/A
2012,1,2,9,30,11.4,-10.35,N/A
2012,1,2,10,30,11.26,-10.4,N/A
2012,1,2,11,30,11.66,-10.47,N/A
2012,1,2,12,30,12,-10.59,N/A
2012,1,2,13,30,11.6,-10.77,N/A
2012,1,2,14,30,10.71,-10.88,N/A
2012,1,2,15,30,10.65,-10.9,N/A
2012,1,2,16,30,8.23,-11.11,N/A
2012,1,2,17,30,8.66,-12.07,N/A
2012,1,2,18,30,10.93,-11.96,N/A
2012,1,2,19,30,11.19,-11.99,N/A
2012,1,2,20,30,11.76,-12.17,N/A
2012,1,2,21,30,10.48,-12.36,N/A
2012,1,2,22,30,7.95,-13.08,N/A
2012,1,2,23,30,7.3100000000000005,-13.38,N/A
2012,1,3,0,30,6.78,-13.48,N/A
2012,1,3,1,30,6.36,-14,N/A
2012,1,3,2,30,6.53,-13.33,N/A
2012,1,3,3,30,7.3100000000000005,-12.9,N/A
2012,1,3,4,30,6.47,-12.86,N/A
2012,1,3,5,30,6.0200000000000005,-13.84,N/A
2012,1,3,6,30,6.28,-14.63,N/A
2012,1,3,7,30,6.46,-14.39,N/A
2012,1,3,8,30,6.68,-15.120000000000001,N/A
2012,1,3,9,30,5.66,-15.52,N/A
2012,1,3,10,30,3.83,-13.84,N/A
2012,1,3,11,30,5.1000000000000005,-11.58,N/A
