Baraga Solar project 3 - 2018 data (Differentiator: Higher DC to AC ratio),,NOTES:,
Latitude,  46.69 ,"Location selected for EJ /policy reasons (because it is situated in a Native community), and selected locally for being in an area with better solar resource",
Longitude,  (88.62),,
System capacity (kW DC),1000,<-- auto-generated by SAM,
System capacity (W DC),"  1,000,000 ",,
DC to AC ratio,1.34,This is recommended by ATB. Higher,
AC capacity (kW AC),746.27,Found on SAM. Lower,
AC capacity (W AC),"  746,270 ",,
Mean capacity factor (%),18.6%,"Very low, worse than class 10",But better than Baraga 2
Capex (overnight cap cost) ($/kw)," $ 1,230.00 ","Class 10 - Moderate, 2022",
Fixed OPEX ($/kw-year), $ 22.03 ,"Class 10 - Moderate, 2022",
,,,
FROM SAM DATA DOWNLOAD					,,CALCULATED COLUMN,
Time stamp,AC inverter output power | (W),Capacity Factor (%),
"Jan 1, 12:00 am",0,0.00%,
"Jan 1, 01:00 am",0,0.00%,
"Jan 1, 02:00 am",0,0.00%,
"Jan 1, 03:00 am",0,0.00%,
"Jan 1, 04:00 am",0,0.00%,
"Jan 1, 05:00 am",0,0.00%,
"Jan 1, 06:00 am",0,0.00%,
"Jan 1, 07:00 am",0,0.00%,
"Jan 1, 08:00 am",0,0.00%,
"Jan 1, 09:00 am",0,0.00%,
"Jan 1, 10:00 am",0,0.00%,
"Jan 1, 11:00 am",0,0.00%,
"Jan 1, 12:00 pm",0,0.00%,
"Jan 1, 01:00 pm",0,0.00%,
"Jan 1, 02:00 pm",82513.2,11.06%,
"Jan 1, 03:00 pm",264350,35.42%,
"Jan 1, 04:00 pm",264000,35.38%,
"Jan 1, 05:00 pm",483477,64.79%,
"Jan 1, 06:00 pm",412061,55.22%,
"Jan 1, 07:00 pm",243510,32.63%,
"Jan 1, 08:00 pm",133844,17.94%,
"Jan 1, 09:00 pm",25605.2,3.43%,
"Jan 1, 10:00 pm",0,0.00%,
"Jan 1, 11:00 pm",0,0.00%,
"Jan 2, 12:00 am",0,0.00%,
"Jan 2, 01:00 am",0,0.00%,
"Jan 2, 02:00 am",0,0.00%,
"Jan 2, 03:00 am",0,0.00%,
"Jan 2, 04:00 am",0,0.00%,
"Jan 2, 05:00 am",0,0.00%,
"Jan 2, 06:00 am",0,0.00%,
"Jan 2, 07:00 am",0,0.00%,
"Jan 2, 08:00 am",0,0.00%,
"Jan 2, 09:00 am",0,0.00%,
"Jan 2, 10:00 am",0,0.00%,
"Jan 2, 11:00 am",0,0.00%,
"Jan 2, 12:00 pm",0,0.00%,
"Jan 2, 01:00 pm",0,0.00%,
"Jan 2, 02:00 pm",36946.9,4.95%,
"Jan 2, 03:00 pm",264475,35.44%,
"Jan 2, 04:00 pm",523489,70.15%,
"Jan 2, 05:00 pm",597579,80.08%,
"Jan 2, 06:00 pm",276535,37.06%,
"Jan 2, 07:00 pm",196093,26.28%,
"Jan 2, 08:00 pm",48917.9,6.55%,
"Jan 2, 09:00 pm",17850.2,2.39%,
"Jan 2, 10:00 pm",0,0.00%,
"Jan 2, 11:00 pm",0,0.00%,
"Jan 3, 12:00 am",0,0.00%,
"Jan 3, 01:00 am",0,0.00%,
"Jan 3, 02:00 am",0,0.00%,
"Jan 3, 03:00 am",0,0.00%,
"Jan 3, 04:00 am",0,0.00%,
"Jan 3, 05:00 am",0,0.00%,
"Jan 3, 06:00 am",0,0.00%,
"Jan 3, 07:00 am",0,0.00%,
"Jan 3, 08:00 am",0,0.00%,
"Jan 3, 09:00 am",0,0.00%,
"Jan 3, 10:00 am",0,0.00%,
"Jan 3, 11:00 am",0,0.00%,
"Jan 3, 12:00 pm",0,0.00%,
"Jan 3, 01:00 pm",0,0.00%,
"Jan 3, 02:00 pm",44713.5,5.99%,
"Jan 3, 03:00 pm",179713,24.08%,
"Jan 3, 04:00 pm",374837,50.23%,
"Jan 3, 05:00 pm",490773,65.76%,
"Jan 3, 06:00 pm",457403,61.29%,
"Jan 3, 07:00 pm",325850,43.66%,
"Jan 3, 08:00 pm",250637,33.59%,
"Jan 3, 09:00 pm",75186.3,10.07%,
"Jan 3, 10:00 pm",0,0.00%,
"Jan 3, 11:00 pm",0,0.00%,
"Jan 4, 12:00 am",0,0.00%,
"Jan 4, 01:00 am",0,0.00%,
"Jan 4, 02:00 am",0,0.00%,
"Jan 4, 03:00 am",0,0.00%,
"Jan 4, 04:00 am",0,0.00%,
"Jan 4, 05:00 am",0,0.00%,
"Jan 4, 06:00 am",0,0.00%,
